City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,23.08,100,100,2.98,EC,2024-05-12 10:32:55
1,uturoa,-16.7333,-151.4333,27.37,74,5,6.26,PF,2024-05-12 10:35:14
2,martinsville,36.6915,-79.8725,10.25,91,2,2.15,US,2024-05-12 10:38:46
3,port alfred,-33.5906,26.891,19.54,64,2,3.13,ZA,2024-05-12 10:33:58
4,xinyuan,37.3,99.0,12.59,19,7,6.08,CN,2024-05-12 10:38:46
5,bembereke,10.2283,2.6634,33.34,38,100,2.36,BJ,2024-05-12 10:34:03
6,ust-nera,64.5667,143.2,-0.58,63,79,1.86,RU,2024-05-12 10:33:39
7,margaret river,-33.95,115.0667,15.92,92,100,4.59,AU,2024-05-12 10:29:34
8,badger,64.8,-147.5333,7.27,59,0,2.57,US,2024-05-12 10:30:30
9,papatowai,-46.5619,169.4708,10.19,90,99,4.41,NZ,2024-05-12 10:32:55
10,keflavik,64.0049,-22.5624,9.95,87,100,6.17,IS,2024-05-12 10:33:08
11,adamstown,-25.066,-130.1015,20.08,66,0,3.12,PN,2024-05-12 10:33:08
12,waitangi,-43.9535,-176.5597,10.46,92,100,5.81,NZ,2024-05-12 10:32:57
13,gao,16.6362,1.637,40.21,23,73,8.97,ML,2024-05-12 10:33:26
14,albany,42.6001,-73.9662,8.46,92,100,2.88,US,2024-05-12 10:32:57
15,hawaiian paradise park,19.5933,-154.9731,21.73,98,100,1.54,US,2024-05-12 10:33:00
16,saipan,15.1355,145.701,28.39,74,20,5.14,MP,2024-05-12 10:33:19
17,olyokminsk,60.3736,120.4264,6.87,76,100,3.27,RU,2024-05-12 10:38:49
18,bilibino,68.0546,166.4372,-2.0,91,97,0.98,RU,2024-05-12 10:32:54
19,georgetown,5.4112,100.3354,32.97,58,20,3.09,MY,2024-05-12 10:30:01
20,invercargill,-46.4,168.35,10.57,92,100,3.58,NZ,2024-05-12 10:30:00
21,enewetak,11.3474,162.3373,27.69,83,89,7.52,MH,2024-05-12 10:33:54
22,kavieng,-2.5744,150.7967,28.7,77,87,0.27,PG,2024-05-12 10:38:50
23,thompson,55.7435,-97.8558,3.09,87,100,8.23,CA,2024-05-12 10:32:58
24,utrik,11.2278,169.8474,27.17,82,99,9.08,MH,2024-05-12 10:34:24
25,blackmans bay,-43.0167,147.3167,13.07,91,60,0.45,AU,2024-05-12 10:32:54
26,nimbahera,24.6167,74.6833,40.38,13,32,5.92,IN,2024-05-12 10:35:23
27,whitehorse,60.7161,-135.0538,5.43,48,40,7.2,CA,2024-05-12 10:33:01
28,afaahiti,-17.75,-149.2833,24.93,84,27,5.38,PF,2024-05-12 10:33:10
